,O2,CH4,O3,H2O,OH,H2,CO,T_time,alt,rh,time,O2_flux,ri_flux
0,7.222746161160684e-08,6.43706906956135e-05,1.1462966363187145e-12,0.0068623229428238,1.6258310978233276e-14,5.358534129663966e-05,1.148793292099809e-06,290.0,25000.0,0.35,1261440000000000.0,1800000000000.0,33000000000.0
1,4.1813855391489115e-08,6.43551905032484e-05,7.130348611530139e-13,0.006259304269484589,2.149303732623516e-14,5.358647347310905e-05,1.1484200449179776e-06,287.6626158997753,75000.0,0.35,1261440000000000.0,1800000000000.0,33000000000.0
2,1.8842857523694444e-08,6.434258744235346e-05,3.4486308553999607e-13,0.0056662362150315055,2.7209353654697335e-14,5.358976877886972e-05,1.1478439575309227e-06,285.2448863044789,125000.0,0.35,1261440000000000.0,1800000000000.0,33000000000.0
3,4.712940006400665e-09,6.43334535266959e-05,7.37579819805841e-14,0.0050805044241057275,3.4945766083161783e-14,5.359562974735627e-05,1.1473268552392092e-06,282.72231287287286,175000.0,0.35,1261440000000000.0,1800000000000.0,33000000000.0
4,4.41999493920717e-10,6.432836909936725e-05,5.160878658041699e-15,0.00451083117167986,2.2749085895128353e-14,5.360454709073266e-05,1.147737375955376e-06,280.0984743309797,225000.0,0.3499999999999999,1261440000000000.0,1800000000000.0,33000000000.0
5,3.8389160798695416e-11,6.432493750246774e-05,3.531494802108491e-16,0.0039589015156361995,8.570465569705386e-15,5.361473091038636e-05,1.1491305720862022e-06,277.355427447546,275000.0,0.35,1261440000000000.0,1800000000000.0,33000000000.0
6,3.857638616962501e-12,6.43216527999156e-05,3.290779436254577e-17,0.003426938338688182,6.302871717737395e-15,5.36248196297745e-05,1.150988570599858e-06,274.47150629051606,325000.0,0.35,1261440000000000.0,1800000000000.0,33000000000.0
7,4.302654092102908e-13,6.431834710256909e-05,3.91978308674123e-18,0.0028668119074807966,6.114276979837125e-15,5.363483688973583e-05,1.1533722342807818e-06,271.40973663360654,375000.0,0.35,1261440000000000.0,1800000000000.0,33000000000.0
8,7.231832023963889e-14,6.431498595142159e-05,7.404717562108836e-19,0.00231931119701322,6.442395420716305e-15,5.364481433766974e-05,1.1563594955428194e-06,268.1645108941888,425000.0,0.35,1261440000000000.0,1800000000000.0,33000000000.0
9,3.167972595394301e-14,6.431155362249796e-05,3.829974842007029e-19,0.001828383171479413,7.004512032612476e-15,5.3654736815415455e-05,1.1599933117137926e-06,264.6908487991124,475000.0,0.35,1261440000000000.0,1800000000000.0,33000000000.0
10,2.950371021885624e-14,6.430803954922637e-05,4.469417823252082e-19,0.0013976498781301324,7.603935066441318e-15,5.366457776497412e-05,1.164303144615266e-06,260.9541157609949,525000.0,0.35,1261440000000000.0,1800000000000.0,33000000000.0
11,3.702673347259107e-14,6.430443484539363e-05,7.319300492532184e-19,0.0010285827214195188,8.074523747786002e-15,5.367431707170803e-05,1.16930301422002e-06,256.9019574581341,575000.0,0.35,1261440000000000.0,1800000000000.0,33000000000.0
12,5.474397661387224e-14,6.430073142495321e-05,1.4568826447334886e-18,0.0007232619751994833,8.27668703226413e-15,5.368395045765963e-05,1.174982831624343e-06,252.48823195198878,625000.0,0.3499999999999999,1261440000000000.0,1800000000000.0,33000000000.0
13,9.561816990466206e-14,6.429692219368754e-05,3.545619921954814e-18,0.00048066548048434276,8.106426702736e-15,5.369349529126923e-05,1.1813017999872953e-06,247.64591157873772,675000.0,0.35,1261440000000000.0,1800000000000.0,33000000000.0
14,2.0945382959475015e-13,6.429300131027795e-05,1.1318301008256179e-17,0.00029890381131453275,7.571538504332295e-15,5.3702994156250786e-05,1.1881874429108834e-06,242.3346652131261,725000.0,0.35,1261440000000000.0,1800000000000.0,33000000000.0
15,6.010729262705519e-13,6.428896470930223e-05,5.018894106612161e-17,0.0001711638942736306,6.7906610474938816e-15,5.371251194349558e-05,1.1955439806554583e-06,236.47777949090056,775000.0,0.35,1261440000000000.0,1800000000000.0,33000000000.0
16,2.08156550860392e-12,6.428481014255882e-05,2.8610881027655225e-16,8.891974760566683e-05,6.031588902978508e-15,5.372212856764286e-05,1.2032661681963654e-06,230.0380789350521,825000.0,0.35,1261440000000000.0,1800000000000.0,33000000000.0
17,7.11330656743234e-12,6.428053638119623e-05,1.6761366521472256e-15,4.1289503314104564e-05,5.609503535372025e-15,5.373192801383993e-05,1.21125949482113e-06,223.00863844813122,875000.0,0.35,1261440000000000.0,1800000000000.0,33000000000.0
18,1.8918955432459157e-11,6.427614212693936e-05,7.419163258114674e-15,1.6693544697759483e-05,5.6094151358773455e-15,5.374198443579093e-05,1.2194533708156218e-06,215.32541808542427,925000.0,0.35,1261440000000000.0,1800000000000.0,33000000000.0
19,3.025019715122037e-11,6.427144189983664e-05,1.3047497987077554e-14,1.726876343463411e-05,7.31661314084234e-15,5.3752763917381544e-05,1.2281159039777269e-06,215.0,975000.0,0.35,1261440000000000.0,1800000000000.0,33000000000.0
20,4.4502312005385015e-11,6.426616011254201e-05,2.1205939212686418e-14,1.2202069169881602e-05,8.618613421351323e-15,5.3764917150696584e-05,1.2377624010394536e-06,215.0,1025000.0,0.22897466153903978,1261440000000000.0,1800000000000.0,33000000000.0
21,6.147044744992626e-11,6.42594536092186e-05,3.138639517796764e-14,9.373210614050188e-06,1.0361004476335287e-14,5.378043917877333e-05,1.2498593746406922e-06,215.0,1075000.0,0.162852588701205,1261440000000000.0,1800000000000.0,33000000000.0
22,8.120985235979267e-11,6.424981119098694e-05,4.348324662468151e-14,7.873525673211776e-06,1.2590089675510086e-14,5.380293008090507e-05,1.2669901509592288e-06,215.0,1125000.0,0.1266581411370263,1261440000000000.0,1800000000000.0,33000000000.0
23,1.0252682565454681e-10,6.42357598594217e-05,5.6542586259519795e-14,7.304947676170279e-06,1.533328372782401e-14,5.38360079760506e-05,1.2915250769536957e-06,215.0,1175000.0,0.10880372806694671,1261440000000000.0,1800000000000.0,33000000000.0
24,1.2508351682795497e-10,6.421530997525287e-05,7.002891504189429e-14,7.2715582575014025e-06,1.8584970928593995e-14,5.388464539123847e-05,1.3265590963210848e-06,215.0,1225000.0,0.10028181804958332,1261440000000000.0,1800000000000.0,33000000000.0
25,1.503928188429125e-10,6.418558434343315e-05,8.459434781806411e-14,7.259836806174632e-06,2.2256359179327238e-14,5.395612750293557e-05,1.3764522821690555e-06,215.0,1275000.0,0.09270322705708808,1261440000000000.0,1800000000000.0,33000000000.0
26,1.8012949492779504e-10,6.414242338844767e-05,1.0068991636403688e-13,7.241470627582802e-06,2.6304771797783744e-14,5.4061134380899396e-05,1.4473246358784289e-06,215.0,1325000.0,0.08561961875753961,1261440000000000.0,1800000000000.0,33000000000.0
27,2.1626780359989663e-10,6.40798129654947e-05,1.1891670809000976e-13,7.212761029544025e-06,3.061617402608316e-14,5.421531987307864e-05,1.5477678027604631e-06,215.0,1375000.0,0.07896448748914142,1261440000000000.0,1800000000000.0,33000000000.0
28,2.5945783041595935e-10,6.399734888904925e-05,1.3917364920316457e-13,7.17212330111248e-06,3.5158578298046716e-14,5.442093577307842e-05,1.6768841337406476e-06,215.0,1425000.0,0.0727054597809172,1261440000000000.0,1800000000000.0,33000000000.0
29,3.096136749908257e-10,6.389935898919488e-05,1.6107768708290284e-13,7.120415205995919e-06,4.003595455393099e-14,5.466834221064923e-05,1.8265152008259512e-06,215.0,1475000.0,0.06683729066066299,1261440000000000.0,1800000000000.0,33000000000.0
